Cu yield (g/m2/yr),,,
BAU,MSC,LI,MSC_LI
0.030662017,0.008296158,0.027294242,0.010927081
0.031065848,0.012418677,0.026296778,0.01101758
0.021767988,0.013429582,0.031997891,0.011539038
0.021186434,0.014424563,0.020999495,0.007471973
0.020215353,0.01433728,0.016335125,0.011429388
0.023745032,0.007786558,0.019436954,0.006465728
0.022040877,0.009265795,0.02136761,0.005680936
0.024029402,0.011108994,0.021169931,0.01042147
0.018673514,0.009732454,0.020236166,0.005639035
0.023035653,0.009027273,0.018965109,0.007099315
0.024424436,0.013071899,0.029635468,0.010736021
0.028564902,0.009480816,0.027860548,0.008397172
0.035453675,0.014610887,0.024376568,0.012410812
0.022346767,0.009008741,0.021019252,0.010245334
0.024789173,0.012476111,0.016441279,0.010114777
0.021853878,0.010748968,0.018887975,0.006273166
0.021609292,0.009976208,0.018821327,0.005699248
0.020521015,0.010816573,0.019275745,0.009158475
0.024509061,0.010601951,0.017291244,0.008849532
0.02227877,0.012461421,0.016209217,0.007220785
0.027305946,0.012896495,0.016803166,0.011934663
0.028784608,0.012966044,0.029514451,0.011164944
0.034753786,0.014024128,0.02544022,0.007579852
0.022192348,0.012446221,0.020456693,0.011740823
0.020790005,0.012452086,0.016457649,0.011595537
0.024914777,0.011334543,0.020760805,0.00894215
0.024529916,0.009013398,0.021933488,0.005606247
0.019417671,0.008118165,0.015419864,0.006603124
0.024369427,0.009523446,0.018643619,0.007555
0.022003112,0.014256246,0.021969602,0.010567927
0.036649836,0.01230187,0.025799467,0.011459605
0.030486182,0.009655623,0.022631557,0.010894911
0.035474197,0.009968358,0.024311323,0.007717358
0.026533061,0.01442666,0.023515617,0.010443978
0.023298834,0.012178185,0.020882328,0.009874823
0.018901665,0.010979068,0.018909958,0.006823169
0.021411533,0.008674398,0.019014333,0.007404699
0.024068885,0.011254092,0.019327399,0.00662979
0.023050836,0.009655504,0.015585525,0.006074027
0.025548202,0.012692857,0.013758167,0.010288366
0.023917922,0.012300151,0.016679128,0.010748064
0.023223997,0.013194776,0.03130728,0.007835025
0.028829785,0.015855812,0.032387485,0.01286757
0.027675244,0.01250921,0.023504465,0.007516975
0.023331289,0.012154735,0.019646254,0.007200727
0.020120434,0.010999196,0.016418973,0.008814811
0.021611778,0.008958881,0.016672943,0.005449697
0.024479232,0.011108994,0.012512875,0.010571705
0.023397527,0.009732573,0.018564131,0.00759426
0.017071829,0.012437161,0.023481014,0.010071073
0.029205666,0.014168382,0.034500696,0.009997004
0.025807116,0.014585062,0.023992816,0.010596864
0.024571509,0.009968358,0.019963324,0.010950496
0.028294494,0.012723378,0.02074726,0.011589215
0.025571652,0.014315355,0.016516134,0.009807895
0.021567649,0.010934249,0.01979066,0.008834139
0.021797706,0.009463332,0.018735694,0.008518428
0.021348796,0.012695145,0.021619843,0.006852123
0.020446201,0.006953024,0.020148867,0.007734728
0.023161561,0.014280674,0.019387466,0.007209803
0.029231644,0.012486759,0.024604705,0.010932953
0.028581295,0.009720482,0.020003034,0.012070525
0.024703343,0.015244923,0.030924767,0.012139266
0.02002744,0.009006644,0.018696756,0.010497992
0.019661594,0.013984805,0.022021115,0.010068739
0.018914453,0.01091151,0.014544579,0.009286754
0.021566936,0.008902788,0.015393913,0.007674606
0.020636329,0.008167877,0.018087015,0.008909477
0.020556677,0.006850783,0.020365374,0.008561833
0.021760023,0.012656794,0.016641863,0.010305355
0.027389872,0.009658131,0.021335435,0.007770896
0.033276213,0.015356571,0.022127183,0.012660594
0.022374129,0.014698555,0.019969638,0.011038612
0.02751923,0.012820331,0.018047543,0.010560165
0.024717982,0.008789815,0.016739497,0.007225155
0.019118688,0.007764561,0.017917549,0.0062825
0.022033233,0.0103041,0.016426408,0.008554418
0.026644487,0.011505661,0.018087015,0.009013376
0.024161187,0.010461578,0.016773701,0.00867638
0.016985907,0.008748184,0.016409802,0.011322828
0.030842957,0.008465691,0.022329749,0.008022011
0.033653054,0.00896004,0.022650747,0.012320788
0.027994784,0.009282875,0.01784754,0.008435701
0.021234917,0.01441928,0.019236459,0.010808124
0.019519768,0.014024159,0.019819844,0.009796914
0.015597572,0.010980496,0.019756861,0.006370727
0.019322109,0.006445831,0.018215208,0.007303646
0.019430437,0.007925084,0.019341174,0.006287982
0.02372736,0.009582196,0.021175416,0.005942019
0.023353551,0.014059796,0.02173726,0.010571441
0.017800091,0.008886383,0.023760265,0.011163763
0.025831526,0.01434394,0.025130992,0.012320788
0.03124215,0.015702224,0.015615368,0.012926501
0.02482459,0.012433138,0.019688772,0.010558487
0.025729319,0.012223567,0.014002452,0.01033296
0.020580488,0.007709924,0.016835653,0.009187854
0.019080488,0.009190111,0.021003164,0.007287319
0.022370225,0.012157169,0.019246471,0.009410578
0.020556677,0.009560397,0.020121247,0.007819962
0.016836656,0.012503716,0.022009035,0.009871309
