Cu yield (g/m2/yr),,,
BAU,MSC,LI,MSC_LI
0.0015,0.0015,0.0015,0.0015
0.0002,0.0002,0.0002,0.0002
0.0015,0.0015,0.0015,0.0015
0.0007,0.0007,0.0007,0.0007
0.0002,0.0002,0.0002,0.0002
0.0002,0.0002,0.0002,0.0002
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0015,0.0015,0.0015,0.0015
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0002,0.0002,0.0002,0.0002
0.0002,0.0002,0.0002,0.0002
0.0015,0.0015,0.0015,0.0015
0.0007,0.0007,0.0007,0.0007
0.0015,0.0015,0.0015,0.0015
0.0002,0.0002,0.0002,0.0002
0.0015,0.0015,0.0015,0.0015
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0002,0.0002,0.0002,0.0002
0.0002,0.0002,0.0002,0.0002
0.0015,0.0015,0.0015,0.0015
0.0015,0.0015,0.0015,0.0015
0.0015,0.0015,0.0015,0.0015
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0002,0.0002,0.0002,0.0002
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0015,0.0015,0.0015,0.0015
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0002,0.0002,0.0002,0.0002
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0002,0.0002,0.0002,0.0002
0.0015,0.0015,0.0015,0.0015
0.0015,0.0015,0.0015,0.0015
0.0007,0.0007,0.0007,0.0007
0.0002,0.0002,0.0002,0.0002
0.0002,0.0002,0.0002,0.0002
0.0007,0.0007,0.0007,0.0007
0.0015,0.0015,0.0015,0.0015
0.0002,0.0002,0.0002,0.0002
0.0007,0.0007,0.0007,0.0007
0.0015,0.0015,0.0015,0.0015
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0015,0.0015,0.0015,0.0015
0.0002,0.0002,0.0002,0.0002
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0015,0.0015,0.0015,0.0015
0.0007,0.0007,0.0007,0.0007
0.0015,0.0015,0.0015,0.0015
0.0007,0.0007,0.0007,0.0007
0.0002,0.0002,0.0002,0.0002
0.0015,0.0015,0.0015,0.0015
0.0015,0.0015,0.0015,0.0015
0.0002,0.0002,0.0002,0.0002
0.0015,0.0015,0.0015,0.0015
0.0002,0.0002,0.0002,0.0002
0.0002,0.0002,0.0002,0.0002
0.0007,0.0007,0.0007,0.0007
0.0002,0.0002,0.0002,0.0002
0.0015,0.0015,0.0015,0.0015
0.0015,0.0015,0.0015,0.0015
0.0007,0.0007,0.0007,0.0007
0.0015,0.0015,0.0015,0.0015
0.0002,0.0002,0.0002,0.0002
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0002,0.0002,0.0002,0.0002
0.0015,0.0015,0.0015,0.0015
0.0015,0.0015,0.0015,0.0015
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0015,0.0015,0.0015,0.0015
0.0007,0.0007,0.0007,0.0007
0.0015,0.0015,0.0015,0.0015
0.0002,0.0002,0.0002,0.0002
0.0007,0.0007,0.0007,0.0007
0.0015,0.0015,0.0015,0.0015
0.0007,0.0007,0.0007,0.0007
