Cu yield (g/m2/yr),,,
BAU,MSC,LI,MSC_LI
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0004,0.0004,0.0004,0.0004
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0004,0.0004,0.0004,0.0004
0.0007,0.0007,0.0007,0.0007
0.0004,0.0004,0.0004,0.0004
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0004,0.0004,0.0004,0.0004
0.0007,0.0007,0.0007,0.0007
0.0004,0.0004,0.0004,0.0004
0.0004,0.0004,0.0004,0.0004
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0004,0.0004,0.0004,0.0004
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0004,0.0004,0.0004,0.0004
0.0004,0.0004,0.0004,0.0004
0.0004,0.0004,0.0004,0.0004
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0004,0.0004,0.0004,0.0004
0.0004,0.0004,0.0004,0.0004
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0004,0.0004,0.0004,0.0004
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0004,0.0004,0.0004,0.0004
0.0007,0.0007,0.0007,0.0007
0.0004,0.0004,0.0004,0.0004
0.0004,0.0004,0.0004,0.0004
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0004,0.0004,0.0004,0.0004
0.0007,0.0007,0.0007,0.0007
0.0004,0.0004,0.0004,0.0004
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0004,0.0004,0.0004,0.0004
0.0007,0.0007,0.0007,0.0007
0.0004,0.0004,0.0004,0.0004
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0004,0.0004,0.0004,0.0004
0.0004,0.0004,0.0004,0.0004
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0004,0.0004,0.0004,0.0004
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0004,0.0004,0.0004,0.0004
0.0004,0.0004,0.0004,0.0004
0.0004,0.0004,0.0004,0.0004
0.0004,0.0004,0.0004,0.0004
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
0.0007,0.0007,0.0007,0.0007
