Cu yield (g/m2/yr),,,
BAU,MSC,LI,MSC_LI
0.040973854,0.011159593,0.034175634,0.008821693
0.04783185,0.010698175,0.03787002,0.008590848
0.04925625,0.01269517,0.039134404,0.010182188
0.044815985,0.008776253,0.036726578,0.009172911
0.039895028,0.011715439,0.03237372,0.009629325
0.045660785,0.012255324,0.038128751,0.010998881
0.046218354,0.012500237,0.035356827,0.00929925
0.039169223,0.010852092,0.031186323,0.008878693
0.037386535,0.008436642,0.032482653,0.0094029
0.056511016,0.013006227,0.044730711,0.008429309
0.037748923,0.012118885,0.033999393,0.009205199
0.045983031,0.011732466,0.037098632,0.006979527
0.046257121,0.013884965,0.040015986,0.010068494
0.043733045,0.011132486,0.037494814,0.009107773
0.040044834,0.012072089,0.031936168,0.008696053
0.049375884,0.00957237,0.040111597,0.010004133
0.043712971,0.01251486,0.038259182,0.010096073
0.042282619,0.008464912,0.034383625,0.00920243
0.04071948,0.010549777,0.031739258,0.008588238
0.056507395,0.013217525,0.047765288,0.008428001
0.040983303,0.011179952,0.032253548,0.009722303
0.047805815,0.010667182,0.03823254,0.007192623
0.050408383,0.012500348,0.040028788,0.007909461
0.047613355,0.011928728,0.036959702,0.009146242
0.040152485,0.008325796,0.033969629,0.009645079
0.04561221,0.013632839,0.036722292,0.007932044
0.043316656,0.012371415,0.037545443,0.009299181
0.038943497,0.008555067,0.034022845,0.008741317
0.038325475,0.010549777,0.029940737,0.008464924
0.056329663,0.013117547,0.04665149,0.010571572
0.043201801,0.011032347,0.033193833,0.007353886
0.047532695,0.011371725,0.036151988,0.008619813
0.049988829,0.013778285,0.039658027,0.011366635
0.046168149,0.008932902,0.04036397,0.008799461
0.040844973,0.010817466,0.033788148,0.008685275
0.045718177,0.013481542,0.040470873,0.009959218
0.045272868,0.012382094,0.038193905,0.010094119
0.041256039,0.010850705,0.031597284,0.009568301
0.037821215,0.008191623,0.032722874,0.008985091
0.058385137,0.013202084,0.045754011,0.010673724
0.04202978,0.010946063,0.033273164,0.009736882
0.046927533,0.011332587,0.037447714,0.008970992
0.049631126,0.013681742,0.039933066,0.01101633
0.047920966,0.011108757,0.036347479,0.007544944
0.041398327,0.010869995,0.029729043,0.008728883
0.044812229,0.013645282,0.038974623,0.010004133
0.046885933,0.008940688,0.035790495,0.009639639
0.042433145,0.010946954,0.033066791,0.00970887
0.039873387,0.008139159,0.032338141,0.006618115
0.058563088,0.013303262,0.047562922,0.011060258
0.041933522,0.010943833,0.032254273,0.009946856
0.043894978,0.011640855,0.037432199,0.00892203
0.04656272,0.013706774,0.039933066,0.01017343
0.045310381,0.012193847,0.035363171,0.009106278
0.039123912,0.010916068,0.032722515,0.009164014
0.048218652,0.012408618,0.038240072,0.010004133
0.044203165,0.011486442,0.036944571,0.010152654
0.041585227,0.011171293,0.033236098,0.008878693
0.037812832,0.010343597,0.03114495,0.009257576
0.057434941,0.013218701,0.046400871,0.008537687
0.040947851,0.011901273,0.034137842,0.008982796
0.04390317,0.008449498,0.037827424,0.008852829
0.048827641,0.009956392,0.037660771,0.011022368
0.043656683,0.010929492,0.037465013,0.009139167
0.040545135,0.011899937,0.029909609,0.008780999
0.048770207,0.013719358,0.036719741,0.010885335
0.046038798,0.011475048,0.037886195,0.009588314
0.041345629,0.01117855,0.031283463,0.01002622
0.040029474,0.008144632,0.033164187,0.009024112
0.053801688,0.013104867,0.046644432,0.011290005
0.041047218,0.008326416,0.033262372,0.006856288
0.047427044,0.011704768,0.038911443,0.006946611
0.050813149,0.012649109,0.040311402,0.010387869
0.04440201,0.008803505,0.039929978,0.007275232
0.040158314,0.010758105,0.031546517,0.009541974
0.047606886,0.013655624,0.040861715,0.009998674
0.046762595,0.011460425,0.035453644,0.007200398
0.04239323,0.008561652,0.033098722,0.008879365
0.040046088,0.010563891,0.033078185,0.009345442
0.053700611,0.014155182,0.044483297,0.011059873
0.041928407,0.010931309,0.031181899,0.006963557
0.045648694,0.010507411,0.03587683,0.008619813
0.050442388,0.012495322,0.040607142,0.010099264
0.048164936,0.011084542,0.034950907,0.009022698
0.036693658,0.01185667,0.032068639,0.009944617
0.04553638,0.012425316,0.040111597,0.007863413
0.04693432,0.011410839,0.037247243,0.009242701
0.041352779,0.010849542,0.033228948,0.006966966
0.040037705,0.011557387,0.033325257,0.009614149
0.056649828,0.013025154,0.045730699,0.011380763
0.03995131,0.010869654,0.032649075,0.008761685
0.044300654,0.010642353,0.03614235,0.006781741
0.049212785,0.012496948,0.040149729,0.010135275
0.047811093,0.01091846,0.037104988,0.009038102
0.038124864,0.008366065,0.031874147,0.009630532
0.048151614,0.012325131,0.039728205,0.009993388
0.047219095,0.008914671,0.035591194,0.009331293
0.041571356,0.012205022,0.03318914,0.008881886
0.039221204,0.011456207,0.033078185,0.006657136
0.058495982,0.013005841,0.045543723,0.01189455
