Cu yield (g/m2/yr),,,
BAU,MSC,LI,MSC_LI
0.0003,0.0003,0.0003,0.0003
0.0006,0.0006,0.0006,0.0006
0.0003,0.0003,0.0003,0.0003
0.0003,0.0003,0.0003,0.0003
0.0003,0.0003,0.0003,0.0003
0.0003,0.0003,0.0003,0.0003
0.0003,0.0003,0.0003,0.0003
0.0006,0.0006,0.0006,0.0006
0.0003,0.0003,0.0003,0.0003
0.0003,0.0003,0.0003,0.0003
0.0001,0.0001,0.0001,0.0001
0.0001,0.0001,0.0001,0.0001
0.0003,0.0003,0.0003,0.0003
0.0003,0.0003,0.0003,0.0003
0.0006,0.0006,0.0006,0.0006
0.0001,0.0001,0.0001,0.0001
0.0001,0.0001,0.0001,0.0001
0.0001,0.0001,0.0001,0.0001
0.0001,0.0001,0.0001,0.0001
0.0001,0.0001,0.0001,0.0001
0.0003,0.0003,0.0003,0.0003
0.0001,0.0001,0.0001,0.0001
0.0001,0.0001,0.0001,0.0001
0.0001,0.0001,0.0001,0.0001
0.0006,0.0006,0.0006,0.0006
0.0003,0.0003,0.0003,0.0003
0.0003,0.0003,0.0003,0.0003
0.0001,0.0001,0.0001,0.0001
0.0006,0.0006,0.0006,0.0006
0.0001,0.0001,0.0001,0.0001
0.0006,0.0006,0.0006,0.0006
0.0003,0.0003,0.0003,0.0003
0.0003,0.0003,0.0003,0.0003
0.0003,0.0003,0.0003,0.0003
0.0001,0.0001,0.0001,0.0001
0.0003,0.0003,0.0003,0.0003
0.0003,0.0003,0.0003,0.0003
0.0003,0.0003,0.0003,0.0003
0.0003,0.0003,0.0003,0.0003
0.0006,0.0006,0.0006,0.0006
0.0003,0.0003,0.0003,0.0003
0.0003,0.0003,0.0003,0.0003
0.0006,0.0006,0.0006,0.0006
0.0001,0.0001,0.0001,0.0001
0.0003,0.0003,0.0003,0.0003
0.0006,0.0006,0.0006,0.0006
0.0003,0.0003,0.0003,0.0003
0.0006,0.0006,0.0006,0.0006
0.0006,0.0006,0.0006,0.0006
0.0001,0.0001,0.0001,0.0001
0.0003,0.0003,0.0003,0.0003
0.0003,0.0003,0.0003,0.0003
0.0003,0.0003,0.0003,0.0003
0.0006,0.0006,0.0006,0.0006
0.0006,0.0006,0.0006,0.0006
0.0001,0.0001,0.0001,0.0001
0.0001,0.0001,0.0001,0.0001
0.0006,0.0006,0.0006,0.0006
0.0006,0.0006,0.0006,0.0006
0.0001,0.0001,0.0001,0.0001
0.0003,0.0003,0.0003,0.0003
0.0003,0.0003,0.0003,0.0003
0.0003,0.0003,0.0003,0.0003
0.0003,0.0003,0.0003,0.0003
0.0006,0.0006,0.0006,0.0006
0.0003,0.0003,0.0003,0.0003
0.0006,0.0006,0.0006,0.0006
0.0001,0.0001,0.0001,0.0001
0.0006,0.0006,0.0006,0.0006
0.0001,0.0001,0.0001,0.0001
0.0003,0.0003,0.0003,0.0003
0.0003,0.0003,0.0003,0.0003
0.0003,0.0003,0.0003,0.0003
0.0003,0.0003,0.0003,0.0003
0.0006,0.0006,0.0006,0.0006
0.0001,0.0001,0.0001,0.0001
0.0003,0.0003,0.0003,0.0003
0.0006,0.0006,0.0006,0.0006
0.0006,0.0006,0.0006,0.0006
0.0001,0.0001,0.0001,0.0001
0.0006,0.0006,0.0006,0.0006
0.0006,0.0006,0.0006,0.0006
0.0006,0.0006,0.0006,0.0006
0.0006,0.0006,0.0006,0.0006
0.0006,0.0006,0.0006,0.0006
0.0003,0.0003,0.0003,0.0003
0.0003,0.0003,0.0003,0.0003
0.0006,0.0006,0.0006,0.0006
0.0006,0.0006,0.0006,0.0006
0.0003,0.0003,0.0003,0.0003
0.0003,0.0003,0.0003,0.0003
0.0003,0.0003,0.0003,0.0003
0.0003,0.0003,0.0003,0.0003
0.0003,0.0003,0.0003,0.0003
0.0001,0.0001,0.0001,0.0001
0.0001,0.0001,0.0001,0.0001
0.0003,0.0003,0.0003,0.0003
0.0006,0.0006,0.0006,0.0006
0.0006,0.0006,0.0006,0.0006
0.0006,0.0006,0.0006,0.0006
