Cu yield (g/m2/yr),,,
BAU,MSC,LI,MSC_LI
0.0011,0.0011,0.0011,0.0011
0.0032,0.0032,0.0032,0.0032
0.0065,0.0065,0.0065,0.0065
0.0011,0.0011,0.0011,0.0011
0.0065,0.0065,0.0065,0.0065
0.0065,0.0065,0.0065,0.0065
0.0032,0.0032,0.0032,0.0032
0.0032,0.0032,0.0032,0.0032
0.0032,0.0032,0.0032,0.0032
0.0032,0.0032,0.0032,0.0032
0.0065,0.0065,0.0065,0.0065
0.0032,0.0032,0.0032,0.0032
0.0032,0.0032,0.0032,0.0032
0.0065,0.0065,0.0065,0.0065
0.0032,0.0032,0.0032,0.0032
0.0032,0.0032,0.0032,0.0032
0.0032,0.0032,0.0032,0.0032
0.0032,0.0032,0.0032,0.0032
0.0065,0.0065,0.0065,0.0065
0.0065,0.0065,0.0065,0.0065
0.0032,0.0032,0.0032,0.0032
0.0032,0.0032,0.0032,0.0032
0.0032,0.0032,0.0032,0.0032
0.0011,0.0011,0.0011,0.0011
0.0032,0.0032,0.0032,0.0032
0.0032,0.0032,0.0032,0.0032
0.0032,0.0032,0.0032,0.0032
0.0011,0.0011,0.0011,0.0011
0.0032,0.0032,0.0032,0.0032
0.0032,0.0032,0.0032,0.0032
0.0011,0.0011,0.0011,0.0011
0.0032,0.0032,0.0032,0.0032
0.0032,0.0032,0.0032,0.0032
0.0011,0.0011,0.0011,0.0011
0.0065,0.0065,0.0065,0.0065
0.0032,0.0032,0.0032,0.0032
0.0065,0.0065,0.0065,0.0065
0.0032,0.0032,0.0032,0.0032
0.0011,0.0011,0.0011,0.0011
0.0011,0.0011,0.0011,0.0011
0.0032,0.0032,0.0032,0.0032
0.0032,0.0032,0.0032,0.0032
0.0032,0.0032,0.0032,0.0032
0.0011,0.0011,0.0011,0.0011
0.0065,0.0065,0.0065,0.0065
0.0065,0.0065,0.0065,0.0065
0.0011,0.0011,0.0011,0.0011
0.0032,0.0032,0.0032,0.0032
0.0065,0.0065,0.0065,0.0065
0.0032,0.0032,0.0032,0.0032
0.0011,0.0011,0.0011,0.0011
0.0011,0.0011,0.0011,0.0011
0.0032,0.0032,0.0032,0.0032
0.0065,0.0065,0.0065,0.0065
0.0032,0.0032,0.0032,0.0032
0.0011,0.0011,0.0011,0.0011
0.0065,0.0065,0.0065,0.0065
0.0011,0.0011,0.0011,0.0011
0.0011,0.0011,0.0011,0.0011
0.0011,0.0011,0.0011,0.0011
0.0032,0.0032,0.0032,0.0032
0.0032,0.0032,0.0032,0.0032
0.0032,0.0032,0.0032,0.0032
0.0032,0.0032,0.0032,0.0032
0.0065,0.0065,0.0065,0.0065
0.0032,0.0032,0.0032,0.0032
0.0065,0.0065,0.0065,0.0065
0.0011,0.0011,0.0011,0.0011
0.0065,0.0065,0.0065,0.0065
0.0065,0.0065,0.0065,0.0065
0.0032,0.0032,0.0032,0.0032
0.0065,0.0065,0.0065,0.0065
0.0065,0.0065,0.0065,0.0065
0.0032,0.0032,0.0032,0.0032
0.0065,0.0065,0.0065,0.0065
0.0011,0.0011,0.0011,0.0011
0.0065,0.0065,0.0065,0.0065
0.0032,0.0032,0.0032,0.0032
0.0032,0.0032,0.0032,0.0032
0.0032,0.0032,0.0032,0.0032
0.0032,0.0032,0.0032,0.0032
0.0065,0.0065,0.0065,0.0065
0.0065,0.0065,0.0065,0.0065
0.0065,0.0065,0.0065,0.0065
0.0032,0.0032,0.0032,0.0032
0.0032,0.0032,0.0032,0.0032
0.0011,0.0011,0.0011,0.0011
0.0011,0.0011,0.0011,0.0011
0.0011,0.0011,0.0011,0.0011
0.0011,0.0011,0.0011,0.0011
0.0011,0.0011,0.0011,0.0011
0.0032,0.0032,0.0032,0.0032
0.0032,0.0032,0.0032,0.0032
0.0032,0.0032,0.0032,0.0032
0.0032,0.0032,0.0032,0.0032
0.0011,0.0011,0.0011,0.0011
0.0032,0.0032,0.0032,0.0032
0.0032,0.0032,0.0032,0.0032
0.0065,0.0065,0.0065,0.0065
0.0065,0.0065,0.0065,0.0065
