Cu yield (g/m2/yr),,,
BAU,MSC,LI,MSC_LI
0.01191002,0.002400354,0.00957366,0.001769843
0.012482538,0.001931855,0.010165198,0.0016674
0.009710515,0.002039712,0.008322589,0.00175607
0.012661363,0.002116605,0.010152524,0.002304364
0.015421452,0.002533621,0.011670943,0.002432104
0.008673556,0.001880863,0.0069732,0.001918833
0.008714214,0.001630211,0.006939558,0.001302545
0.007434149,0.001554394,0.00562571,0.001438845
0.01076814,0.002104004,0.008865375,0.002178446
0.010263501,0.002024489,0.008811301,0.002089563
0.012079227,0.00215566,0.009679631,0.002180283
0.012703822,0.002033941,0.010050366,0.001709073
0.009678052,0.002183255,0.008207296,0.001765228
0.012735674,0.002333561,0.010168678,0.002018722
0.013921773,0.00216464,0.013207226,0.001904083
0.007531231,0.001775591,0.007397269,0.001491124
0.008392863,0.001767933,0.007193405,0.001367966
0.007164677,0.001948076,0.005608979,0.001479513
0.01076814,0.002098978,0.00840909,0.001799182
0.010468493,0.002300288,0.008233922,0.001739591
0.012084574,0.00215566,0.009537091,0.001748437
0.012947004,0.002398895,0.010617451,0.001815796
0.009534464,0.002188662,0.008022259,0.00175178
0.012766788,0.002341956,0.010468029,0.002164261
0.013843614,0.002276633,0.010425245,0.00216591
0.00775682,0.002102301,0.007092974,0.001918833
0.008806074,0.002094029,0.006988457,0.001302545
0.006799244,0.00169481,0.005608979,0.001862254
0.010874952,0.002114686,0.008368879,0.001811748
0.010289043,0.002333052,0.00830009,0.001632274
0.01191002,0.002056437,0.009595066,0.001741719
0.012572766,0.002371242,0.010502619,0.001812304
0.00982581,0.002245392,0.008116556,0.002179964
0.012364612,0.002197153,0.010223941,0.002066517
0.014147172,0.002536238,0.013390868,0.001687069
0.0074462,0.001927346,0.007072095,0.001403723
0.00844785,0.002094029,0.007385537,0.001546211
0.006655035,0.002014759,0.005358968,0.001394131
0.010599643,0.002155132,0.008834301,0.001700458
0.010422394,0.001926953,0.008738758,0.00158814
0.012033516,0.002102148,0.009662248,0.00170515
0.012705334,0.001909576,0.010568302,0.001698159
0.010025248,0.002388505,0.007816648,0.001880056
0.012434553,0.002343394,0.010514992,0.002197424
0.013684679,0.002059166,0.013085977,0.002124721
0.008290917,0.001713316,0.007499467,0.001531588
0.008585571,0.001690903,0.006834291,0.001367966
0.006150265,0.001548961,0.005608979,0.001395368
0.010642708,0.002004471,0.008779926,0.001803204
0.010335142,0.001799305,0.008221182,0.001736177
0.012079227,0.002159612,0.009679631,0.001620585
0.012811786,0.002165669,0.010317348,0.002078712
0.00982581,0.002188662,0.008072355,0.001870895
0.01230057,0.002362871,0.009927336,0.002133424
0.012063418,0.002023845,0.010075857,0.001723672
0.007438739,0.001836456,0.006932735,0.001599833
0.008339268,0.001812402,0.006869813,0.001538143
0.007159683,0.001706627,0.005499125,0.001433865
0.010587024,0.002055599,0.008413919,0.001708617
0.010225112,0.002079656,0.008114501,0.001739591
0.011892075,0.002062304,0.009604273,0.00170515
0.012679218,0.00240326,0.010345026,0.001864773
0.009620552,0.002045074,0.007773748,0.002055977
0.012220199,0.002332122,0.0100719,0.00172687
0.012156698,0.00232696,0.013251722,0.002133756
0.008351782,0.00160187,0.008042724,0.001491124
0.008207684,0.002133752,0.006664113,0.001566125
0.006774712,0.002060258,0.005358968,0.00131101
0.010819269,0.001896919,0.008539579,0.001799182
0.010315791,0.00206632,0.008422251,0.001739591
0.01192781,0.002159612,0.0097162,0.001854408
0.013044975,0.002116424,0.010388479,0.001843063
0.009678474,0.0023999,0.00793787,0.002170848
0.012118375,0.002422327,0.010052246,0.001867922
0.013883765,0.002428362,0.013473372,0.001999288
0.00830207,0.001769417,0.007232334,0.001551362
0.008345406,0.001630211,0.006907779,0.001931427
0.006322551,0.002014759,0.005608979,0.00178239
0.010587024,0.002114686,0.009000864,0.001663577
0.010331715,0.001917886,0.008221182,0.002089563
0.011701139,0.002400354,0.009595066,0.001711868
0.012815639,0.002391777,0.010387306,0.001744666
0.009766815,0.002450597,0.007930647,0.002170803
0.01211182,0.002332122,0.010039616,0.002068451
0.012248528,0.002322387,0.011668802,0.001975538
0.009323279,0.001613847,0.008042724,0.00159366
0.008946645,0.002089283,0.007266893,0.001534346
0.007159683,0.001909579,0.006436985,0.00151801
0.010693836,0.002050573,0.008875203,0.001803204
0.010331715,0.001926953,0.008199784,0.001502858
0.01219028,0.00215566,0.010012224,0.001881097
0.012835037,0.00212722,0.010128743,0.001752087
0.009480839,0.002450642,0.008231427,0.001880056
0.012305908,0.00233129,0.009883309,0.002162278
0.012326687,0.002110706,0.011667396,0.00181983
0.009322411,0.001892841,0.006108472,0.001930811
0.008392863,0.00167468,0.006907779,0.001538143
0.006943998,0.002053257,0.006380972,0.001521501
0.010535896,0.002155132,0.008539579,0.001811748
0.010377814,0.002024489,0.008372633,0.001654308
