Cu yield (g/m2/yr),,,
BAU,MSC,LI,MSC_LI
0.00385457,0.00190304,0.006981748,0.001347425
0.003877865,0.001400906,0.006969143,0.001117521
0.004054562,0.001625747,0.007356741,0.00119501
0.004076267,0.00169486,0.007769147,0.00199352
0.00412212,0.002211346,0.009008491,0.001488133
0.004141948,0.001379094,0.006319428,0.001851826
0.004186071,0.001544363,0.006834548,0.001443099
0.004543041,0.001663955,0.008762337,0.00163688
0.004589181,0.001659357,0.006803623,0.001446309
0.004635033,0.000851477,0.003498439,0.001033595
0.007670807,0.001471105,0.006963642,0.001364591
0.007768794,0.001374593,0.007257085,0.001175854
0.007834561,0.001719187,0.006289659,0.001344944
0.007847209,0.00153232,0.008648888,0.001352611
0.007909523,0.002133629,0.008942984,0.002038742
0.007963502,0.001624358,0.006345361,0.001876095
0.007968487,0.002008156,0.006860481,0.001257721
0.008094068,0.001745848,0.008539702,0.002054219
0.008206606,0.002054837,0.006565783,0.001476211
0.008214859,0.000901282,0.003414939,0.001029441
0.008232451,0.00135183,0.006959318,0.001142731
0.008232625,0.001494073,0.007390461,0.001394884
0.008262018,0.00165457,0.007204977,0.001438864
0.008263967,0.001601415,0.00883694,0.001498174
0.008264867,0.001960255,0.009008491,0.001650503
0.008265097,0.001588875,0.006775877,0.001416528
0.008283388,0.001987859,0.006958667,0.001169933
0.008292956,0.001719173,0.008960817,0.001609257
0.008292956,0.00141742,0.006944645,0.001386032
0.008302006,0.001136978,0.003461757,0.001561549
0.008310837,0.001576061,0.006703261,0.001142731
0.008313982,0.002004863,0.006878361,0.001168731
0.008313982,0.001618268,0.007228035,0.001286731
0.008313982,0.001567793,0.008102735,0.001510795
0.008321144,0.00195201,0.009039169,0.002029155
0.008348528,0.001918062,0.006562902,0.001440557
0.008415791,0.001637263,0.006801528,0.001398216
0.008430841,0.001882525,0.009352596,0.001636035
0.008439849,0.001657281,0.006827687,0.001451422
0.008441884,0.001123545,0.003147948,0.000983291
0.008443219,0.001340624,0.006983989,0.001185922
0.008443219,0.001518127,0.006807534,0.001816195
0.008455104,0.002018904,0.008149551,0.00188982
0.008456079,0.001759267,0.00887363,0.001962984
0.008497267,0.001832298,0.009007536,0.001488224
0.008513061,0.001970461,0.006480817,0.001877619
0.00853641,0.001971266,0.007077589,0.001398216
0.008543818,0.001886757,0.00831091,0.001350171
0.008543818,0.001532506,0.006773978,0.001812994
0.008625866,0.000844722,0.003199643,0.001033881
0.00866599,0.001340624,0.006981748,0.00114086
0.00866599,0.001487922,0.00632692,0.001193448
0.008676993,0.001278326,0.007284274,0.001438864
0.008685907,0.001492284,0.007151305,0.001276884
0.008716648,0.001924893,0.009387143,0.001659999
0.008718744,0.001566732,0.006933127,0.001880212
0.008756892,0.002001323,0.006419573,0.001893588
0.00877416,0.001866637,0.008831898,0.00137692
0.008809396,0.00168594,0.006757645,0.001451422
0.008809396,0.001069734,0.00355584,0.00103999
0.008837238,0.001573518,0.007004797,0.001166721
0.008854173,0.001571427,0.007017582,0.001314309
0.008864269,0.001478596,0.008269531,0.001543373
0.008873314,0.001352644,0.007283187,0.001416624
0.008935605,0.001835192,0.009418673,0.00197341
0.008994572,0.001994147,0.006319428,0.001415068
0.009059147,0.001930837,0.007252942,0.001867655
0.009067277,0.001834687,0.00865401,0.00161037
0.009075351,0.001530143,0.00739864,0.001900766
0.009337431,0.00162762,0.003397805,0.001524867
0.009469313,0.001494629,0.007692366,0.001386293
0.009541587,0.00143646,0.006795406,0.001219043
0.009597436,0.001618268,0.007164295,0.001440779
0.009608185,0.001670379,0.008652935,0.00194964
0.009648989,0.002215272,0.009066426,0.001681693
0.009803371,0.001569973,0.006480817,0.00135542
0.010052534,0.001441419,0.007208144,0.001421176
0.010132806,0.002179275,0.008769325,0.001547127
0.01014801,0.001662365,0.00670651,0.001440938
0.010264689,0.001110394,0.004026862,0.001561549
0.010313206,0.001987015,0.006548369,0.001347589
0.010422523,0.001365515,0.007401424,0.001352752
0.010422523,0.001480989,0.007397423,0.001986431
0.010422523,0.001692439,0.0069496,0.001479854
0.01050966,0.002141868,0.009104359,0.001488038
0.010609472,0.001615801,0.007238568,0.00138692
0.010635278,0.002005798,0.007432336,0.001787861
0.010647691,0.001758232,0.008486104,0.002025273
0.010690011,0.001507876,0.006825112,0.001256807
0.010776413,0.001143373,0.003215505,0.001561549
0.010901795,0.00199242,0.006983989,0.001140696
0.010939237,0.001529295,0.007773487,0.001362342
0.011056056,0.001548298,0.006757844,0.00188982
0.011067098,0.002167218,0.008102735,0.001498578
0.011110303,0.001924893,0.00941626,0.001491201
0.011148651,0.001544484,0.006588695,0.001252155
0.011230138,0.001915256,0.007103521,0.001789747
0.011265404,0.001745848,0.008746303,0.001974286
0.011364484,0.00142279,0.00670651,0.001478646
0.011481303,0.000910402,0.003195957,0.000987445
