Cu yield (g/m2/yr),,,
BAU,MSC,LI,MSC_LI
0.010178411,0.00187479,0.008325271,0.001625746
0.008145468,0.001637086,0.006866972,0.001174606
0.010149106,0.002271167,0.009540166,0.001990986
0.00983613,0.00179095,0.007931043,0.001524984
0.009133061,0.001858265,0.008375101,0.001646208
0.006528494,0.001935854,0.005065552,0.001363165
0.010105746,0.001791287,0.008702217,0.002009546
0.009118829,0.001821342,0.007232831,0.002021031
0.011344546,0.002048889,0.009369791,0.001652295
0.009685377,0.002084472,0.008322062,0.002010936
0.010265942,0.002151448,0.008172958,0.002018611
0.008538349,0.0015095,0.007496814,0.001225314
0.010238317,0.001884814,0.009309895,0.001952017
0.009432919,0.001862798,0.00826829,0.001556455
0.010253098,0.00171984,0.007718227,0.001388725
0.00632504,0.00207032,0.005636679,0.00125914
0.00898278,0.001724567,0.008527062,0.001650011
0.009177288,0.001660387,0.007244083,0.001478997
0.011889444,0.002207604,0.00925047,0.001768835
0.010263187,0.001770941,0.00795263,0.001456783
0.010383288,0.001762738,0.008304369,0.001664969
0.008145992,0.001619301,0.006834545,0.001169779
0.010662354,0.001993106,0.008609003,0.001573497
0.009352327,0.001855913,0.008308582,0.001656446
0.008569673,0.002180755,0.008133994,0.001462199
0.006152315,0.002079429,0.005180412,0.001254184
0.009691319,0.002228031,0.009042706,0.002085657
0.009063108,0.001897527,0.007193376,0.001679302
0.011344546,0.002106071,0.009674318,0.001798244
0.009638921,0.001759043,0.007918195,0.001978255
0.010555225,0.001797506,0.008095543,0.001624789
0.008403881,0.002000717,0.007417285,0.001361382
0.010076357,0.001752026,0.008996693,0.001557865
0.009740991,0.001818654,0.008244231,0.001940542
0.008576936,0.002266931,0.007601948,0.001692554
0.006225764,0.001553481,0.004933252,0.00144335
0.009809359,0.001870277,0.00795392,0.002063963
0.008829319,0.00183024,0.007740797,0.001676861
0.011812924,0.002303464,0.009741456,0.001768835
0.009462005,0.001909855,0.007783111,0.001375448
0.01054159,0.00189064,0.008335378,0.001906669
0.008429917,0.001538076,0.007331332,0.001401716
0.010114935,0.002234368,0.009711818,0.00163703
0.009577931,0.001956581,0.008230581,0.001873548
0.008379272,0.001921084,0.007681584,0.001979843
0.006557644,0.001659907,0.005122418,0.001360833
0.009459318,0.001657667,0.007473414,0.001723877
0.009063108,0.002243555,0.007095734,0.001388434
0.011517212,0.002097805,0.009218937,0.001768835
0.009632592,0.001917764,0.008168421,0.001626843
0.010255586,0.001933318,0.008191873,0.001985085
0.008475995,0.00166371,0.006905841,0.001813282
0.009249387,0.001751189,0.008996693,0.001638453
0.009243017,0.001927761,0.007559613,0.001716891
0.008681707,0.002257316,0.007174896,0.00168294
0.00670122,0.002073235,0.005157093,0.001448306
0.009501747,0.002225777,0.008498532,0.001650011
0.008881013,0.001949221,0.007753964,0.001679979
0.011448671,0.002052778,0.009187821,0.001759111
0.010144169,0.001774982,0.007809809,0.001612646
0.010582301,0.0018758,0.008411494,0.001467275
0.008501892,0.001637086,0.007460917,0.001418349
0.010130509,0.001552476,0.008405887,0.001649052
0.009776213,0.001862798,0.00755842,0.001408971
0.010148328,0.001778888,0.007616658,0.001525649
0.006181465,0.001935854,0.005122418,0.00148298
0.009707104,0.001762807,0.008766362,0.001627231
0.008829319,0.001907705,0.007120153,0.002061126
0.011934471,0.002052778,0.009674318,0.002145405
0.009675804,0.001647524,0.00837577,0.001389646
0.010582301,0.002074111,0.008421601,0.00190977
0.008830284,0.001442896,0.006749852,0.001445759
0.009141735,0.001651434,0.009395497,0.001551517
0.009849995,0.001830492,0.007579759,0.001527663
0.00935827,0.001903571,0.007783152,0.001602032
0.006091328,0.001553481,0.005145738,0.001360833
0.009122553,0.0017115,0.008140385,0.001612667
0.009350678,0.002194913,0.007424132,0.001680619
0.011851819,0.002348491,0.009431007,0.002138792
0.010059967,0.001870438,0.008383701,0.001612646
0.010639262,0.00189165,0.00826963,0.0016533
0.008327499,0.001995736,0.006780112,0.001432739
0.011068089,0.002259786,0.008708576,0.001562116
0.009541712,0.001974795,0.007791794,0.001534331
0.009898682,0.001743338,0.008012351,0.001591835
0.006020245,0.001650798,0.005587124,0.001448306
0.00957515,0.001947745,0.008315818,0.001993896
0.008986284,0.001907065,0.007211392,0.001685168
0.011806792,0.002311729,0.009364886,0.002145405
0.010093263,0.001770063,0.007619359,0.00162068
0.010130645,0.002208966,0.008284695,0.001498887
0.008376557,0.002015918,0.007417285,0.001254156
0.009978773,0.001708667,0.009405429,0.001592979
0.00924421,0.001792834,0.007966033,0.001589844
0.00921742,0.001778888,0.007850619,0.001398882
0.006281697,0.001389346,0.005621799,0.001478025
0.009358214,0.001937546,0.008398061,0.001506076
0.008822916,0.00178653,0.007372243,0.001640524
0.011448671,0.002061044,0.009187821,0.001652295
0.009801976,0.002195992,0.008053962,0.001650269
