Zn yield (g/m2/yr),,,
BAU,MSC,LI,MSC_LI
0.270879655,0.094999014,0.24555589,0.071161598
0.300402392,0.082538349,0.248857421,0.070490627
0.296753783,0.097507859,0.192066626,0.08358422
0.354149584,0.07991932,0.251476183,0.062092483
0.234920815,0.097027681,0.190179616,0.074803337
0.237171388,0.092055064,0.221852322,0.07805637
0.239522274,0.089843527,0.17997546,0.094858853
0.341782425,0.091235821,0.28110498,0.08258382
0.362079047,0.086714511,0.268965473,0.064050646
0.279314528,0.090826751,0.251760966,0.080892807
0.297319168,0.091954062,0.219129886,0.074529493
0.348360131,0.080491889,0.224176127,0.066224679
0.336282078,0.107258437,0.269464865,0.076325631
0.314274595,0.081762147,0.254165618,0.063859649
0.231430025,0.102397191,0.189683809,0.083998121
0.290976322,0.086891508,0.212740018,0.083208627
0.31805227,0.086777513,0.271493573,0.092140239
0.373305469,0.096547214,0.270198027,0.080624866
0.386334924,0.082639234,0.313905608,0.070834439
0.213825859,0.094208787,0.214898617,0.084646933
0.296475726,0.089770251,0.279490829,0.075302334
0.314645851,0.08097062,0.284300747,0.063190815
0.281127991,0.103957212,0.258259296,0.083373838
0.316183178,0.071474602,0.188457617,0.067611757
0.25058188,0.091845893,0.179293122,0.08741952
0.269532611,0.088181266,0.222769386,0.089370288
0.273714391,0.096566523,0.233915604,0.083948808
0.341920728,0.101574742,0.306673675,0.083228585
0.262455554,0.081057628,0.251473303,0.072586501
0.26057674,0.097322361,0.185621841,0.072429828
0.305154785,0.093191313,0.239512483,0.069091015
0.277111569,0.088846146,0.246938136,0.068190819
0.26775553,0.108190058,0.252575545,0.093181269
0.384434581,0.07445865,0.253132754,0.077736536
0.223953347,0.094135847,0.23719334,0.078484199
0.289562133,0.098832193,0.224679717,0.072708582
0.296960536,0.102023322,0.263405914,0.071278157
0.322852797,0.103469389,0.281789247,0.079062185
0.334469051,0.08725685,0.239512958,0.070660769
0.295059092,0.091155127,0.202398222,0.083750626
0.234271865,0.084596857,0.196512251,0.076046161
0.278553729,0.083035253,0.241851122,0.063818004
0.281683002,0.10059182,0.229071716,0.092963379
0.242536587,0.083529144,0.21990219,0.067833279
0.246564362,0.0990465,0.208163994,0.077158638
0.254341161,0.105367462,0.234900413,0.079200195
0.304739057,0.097326563,0.263990065,0.093206746
0.267114307,0.095549832,0.319129486,0.077759127
0.384690634,0.080015256,0.213598566,0.065766722
0.240000728,0.091180892,0.210931136,0.079310137
0.299186966,0.094068239,0.247090118,0.06825163
0.303824202,0.082497241,0.279652449,0.074437605
0.343084487,0.107607443,0.208820908,0.096802982
0.340572426,0.075153201,0.238685459,0.069476422
0.245810089,0.09465326,0.20868106,0.081897179
0.258774642,0.079831643,0.202735736,0.076900039
0.292139857,0.100306272,0.237616357,0.086477106
0.347764169,0.094734471,0.278864916,0.082766458
0.336595149,0.081309088,0.312769907,0.067682322
0.295781459,0.093452829,0.244952912,0.074870853
0.242253903,0.089725936,0.210019041,0.079660682
0.304192211,0.084203112,0.22924472,0.06936104
0.340473621,0.106065361,0.2373733,0.092433946
0.3042548,0.082749597,0.248135987,0.072102168
0.254008769,0.106662357,0.219167026,0.07955273
0.230870601,0.094469075,0.194014624,0.078689405
0.250066505,0.096703442,0.229845804,0.084849221
0.390087382,0.094161564,0.270591265,0.075901892
0.394373419,0.079396707,0.281101845,0.076207999
0.243087786,0.099623503,0.238790743,0.075724409
0.361680121,0.084858217,0.288740168,0.073262694
0.268077643,0.085989928,0.280689197,0.072128796
0.288816034,0.097779415,0.239804648,0.083176491
0.300929178,0.074716696,0.245366966,0.074479577
0.226742993,0.097918989,0.192376728,0.085141284
0.253647084,0.095864954,0.240108209,0.077060976
0.284964761,0.097722855,0.262017739,0.086786047
0.3557536,0.098574903,0.276938008,0.075140822
0.336076752,0.076744358,0.320338856,0.065180525
0.249119097,0.105108681,0.183923039,0.076879381
0.32220415,0.091107068,0.187646302,0.070647257
0.259139073,0.08462067,0.225030441,0.068599509
0.283280332,0.100789956,0.247761641,0.087489578
0.264170962,0.069947896,0.257744476,0.070121341
0.198883103,0.099529015,0.224372889,0.087700251
0.269405894,0.087593805,0.231079194,0.075443615
0.30386978,0.097674235,0.199901311,0.092508631
0.301569292,0.098486075,0.280298114,0.080974589
0.328990789,0.073608776,0.329461629,0.076771844
0.265879193,0.10244528,0.209196307,0.083905036
0.3074287,0.092671818,0.240253332,0.073240309
0.372334595,0.088785849,0.249158539,0.071666156
0.319260948,0.097890531,0.30455145,0.083586862
0.316517247,0.070311412,0.195260076,0.065648784
0.224917015,0.089515558,0.217536525,0.072333079
0.255727481,0.093324028,0.194290433,0.092507579
0.260726553,0.095738708,0.261763631,0.07335853
0.423080813,0.101645943,0.283181231,0.084086283
0.300633991,0.089095133,0.306433726,0.062683776
0.305175834,0.097218193,0.210250961,0.078294709
