Zn yield (g/m2/yr),,,
BAU,MSC,LI,MSC_LI
0.0036,0.0036,0.0036,0.0036
0.0036,0.0036,0.0036,0.0036
0.0036,0.0036,0.0036,0.0036
0.0073,0.0073,0.0073,0.0073
0.0036,0.0036,0.0036,0.0036
0.0073,0.0073,0.0073,0.0073
0.0073,0.0073,0.0073,0.0073
0.0036,0.0036,0.0036,0.0036
0.0036,0.0036,0.0036,0.0036
0.0036,0.0036,0.0036,0.0036
0.0036,0.0036,0.0036,0.0036
0.0036,0.0036,0.0036,0.0036
0.0036,0.0036,0.0036,0.0036
0.0073,0.0073,0.0073,0.0073
0.0036,0.0036,0.0036,0.0036
0.0012,0.0012,0.0012,0.0012
0.0073,0.0073,0.0073,0.0073
0.0073,0.0073,0.0073,0.0073
0.0036,0.0036,0.0036,0.0036
0.0036,0.0036,0.0036,0.0036
0.0036,0.0036,0.0036,0.0036
0.0073,0.0073,0.0073,0.0073
0.0073,0.0073,0.0073,0.0073
0.0036,0.0036,0.0036,0.0036
0.0036,0.0036,0.0036,0.0036
0.0036,0.0036,0.0036,0.0036
0.0073,0.0073,0.0073,0.0073
0.0036,0.0036,0.0036,0.0036
0.0036,0.0036,0.0036,0.0036
0.0036,0.0036,0.0036,0.0036
0.0036,0.0036,0.0036,0.0036
0.0073,0.0073,0.0073,0.0073
0.0012,0.0012,0.0012,0.0012
0.0012,0.0012,0.0012,0.0012
0.0036,0.0036,0.0036,0.0036
0.0073,0.0073,0.0073,0.0073
0.0036,0.0036,0.0036,0.0036
0.0012,0.0012,0.0012,0.0012
0.0012,0.0012,0.0012,0.0012
0.0073,0.0073,0.0073,0.0073
0.0073,0.0073,0.0073,0.0073
0.0036,0.0036,0.0036,0.0036
0.0012,0.0012,0.0012,0.0012
0.0036,0.0036,0.0036,0.0036
0.0036,0.0036,0.0036,0.0036
0.0073,0.0073,0.0073,0.0073
0.0036,0.0036,0.0036,0.0036
0.0012,0.0012,0.0012,0.0012
0.0012,0.0012,0.0012,0.0012
0.0036,0.0036,0.0036,0.0036
0.0036,0.0036,0.0036,0.0036
0.0012,0.0012,0.0012,0.0012
0.0036,0.0036,0.0036,0.0036
0.0036,0.0036,0.0036,0.0036
0.0036,0.0036,0.0036,0.0036
0.0073,0.0073,0.0073,0.0073
0.0012,0.0012,0.0012,0.0012
0.0012,0.0012,0.0012,0.0012
0.0036,0.0036,0.0036,0.0036
0.0036,0.0036,0.0036,0.0036
0.0036,0.0036,0.0036,0.0036
0.0036,0.0036,0.0036,0.0036
0.0012,0.0012,0.0012,0.0012
0.0073,0.0073,0.0073,0.0073
0.0036,0.0036,0.0036,0.0036
0.0073,0.0073,0.0073,0.0073
0.0073,0.0073,0.0073,0.0073
0.0036,0.0036,0.0036,0.0036
0.0036,0.0036,0.0036,0.0036
0.0036,0.0036,0.0036,0.0036
0.0073,0.0073,0.0073,0.0073
0.0036,0.0036,0.0036,0.0036
0.0036,0.0036,0.0036,0.0036
0.0012,0.0012,0.0012,0.0012
0.0036,0.0036,0.0036,0.0036
0.0073,0.0073,0.0073,0.0073
0.0036,0.0036,0.0036,0.0036
0.0036,0.0036,0.0036,0.0036
0.0012,0.0012,0.0012,0.0012
0.0012,0.0012,0.0012,0.0012
0.0012,0.0012,0.0012,0.0012
0.0036,0.0036,0.0036,0.0036
0.0036,0.0036,0.0036,0.0036
0.0012,0.0012,0.0012,0.0012
0.0012,0.0012,0.0012,0.0012
0.0036,0.0036,0.0036,0.0036
0.0073,0.0073,0.0073,0.0073
0.0036,0.0036,0.0036,0.0036
0.0036,0.0036,0.0036,0.0036
0.0036,0.0036,0.0036,0.0036
0.0036,0.0036,0.0036,0.0036
0.0036,0.0036,0.0036,0.0036
0.0036,0.0036,0.0036,0.0036
0.0073,0.0073,0.0073,0.0073
0.0036,0.0036,0.0036,0.0036
0.0036,0.0036,0.0036,0.0036
0.0036,0.0036,0.0036,0.0036
0.0036,0.0036,0.0036,0.0036
0.0036,0.0036,0.0036,0.0036
0.0073,0.0073,0.0073,0.0073
