Zn yield (g/m2/yr),,,
BAU,MSC,LI,MSC_LI
0.2574,0.2574,0.2574,0.2574
0.2574,0.2574,0.2574,0.2574
0.2574,0.2574,0.2574,0.2574
0.2574,0.2574,0.2574,0.2574
0.16015,0.16015,0.16015,0.16015
0.1947,0.1947,0.1947,0.1947
0.29888,0.29888,0.29888,0.29888
0.2638,0.2638,0.2638,0.2638
0.36425,0.36425,0.36425,0.36425
0.47216,0.47216,0.47216,0.47216
0.2574,0.2574,0.2574,0.2574
0.1256,0.1256,0.1256,0.1256
0.2574,0.2574,0.2574,0.2574
0.2574,0.2574,0.2574,0.2574
0.27877,0.27877,0.27877,0.27877
0.35332,0.35332,0.35332,0.35332
0.41027,0.41027,0.41027,0.41027
0.35664,0.35664,0.35664,0.35664
0.36425,0.36425,0.36425,0.36425
0.24084,0.24084,0.24084,0.24084
0.1256,0.1256,0.1256,0.1256
0.2574,0.2574,0.2574,0.2574
0.3842,0.3842,0.3842,0.3842
0.2574,0.2574,0.2574,0.2574
0.36876,0.36876,0.36876,0.36876
0.25188,0.25188,0.25188,0.25188
0.24912,0.24912,0.24912,0.24912
0.5118,0.5118,0.5118,0.5118
0.4803,0.4803,0.4803,0.4803
0.52488,0.52488,0.52488,0.52488
0.2574,0.2574,0.2574,0.2574
0.2574,0.2574,0.2574,0.2574
0.2574,0.2574,0.2574,0.2574
0.3842,0.3842,0.3842,0.3842
0.25464,0.25464,0.25464,0.25464
0.1947,0.1947,0.1947,0.1947
0.33788,0.33788,0.33788,0.33788
0.2638,0.2638,0.2638,0.2638
0.2436,0.2436,0.2436,0.2436
0.52488,0.52488,0.52488,0.52488
0.3842,0.3842,0.3842,0.3842
0.2574,0.2574,0.2574,0.2574
0.1256,0.1256,0.1256,0.1256
0.2574,0.2574,0.2574,0.2574
0.39289,0.39289,0.39289,0.39289
0.25188,0.25188,0.25188,0.25188
0.29888,0.29888,0.29888,0.29888
0.34288,0.34288,0.34288,0.34288
0.36425,0.36425,0.36425,0.36425
0.47216,0.47216,0.47216,0.47216
0.3842,0.3842,0.3842,0.3842
0.2574,0.2574,0.2574,0.2574
0.2574,0.2574,0.2574,0.2574
0.3842,0.3842,0.3842,0.3842
0.16015,0.16015,0.16015,0.16015
0.25188,0.25188,0.25188,0.25188
0.15686,0.15686,0.15686,0.15686
0.2638,0.2638,0.2638,0.2638
0.36425,0.36425,0.36425,0.36425
0.38562,0.38562,0.38562,0.38562
0.2574,0.2574,0.2574,0.2574
0.1256,0.1256,0.1256,0.1256
0.2574,0.2574,0.2574,0.2574
0.3842,0.3842,0.3842,0.3842
0.4161,0.4161,0.4161,0.4161
0.30014,0.30014,0.30014,0.30014
0.4799,0.4799,0.4799,0.4799
0.34288,0.34288,0.34288,0.34288
0.29835,0.29835,0.29835,0.29835
0.43634,0.43634,0.43634,0.43634
0.1256,0.1256,0.1256,0.1256
0.2574,0.2574,0.2574,0.2574
0.2574,0.2574,0.2574,0.2574
0.2574,0.2574,0.2574,0.2574
0.13602,0.13602,0.13602,0.13602
0.30014,0.30014,0.30014,0.30014
0.32151,0.32151,0.32151,0.32151
0.41896,0.41896,0.41896,0.41896
0.36425,0.36425,0.36425,0.36425
0.24084,0.24084,0.24084,0.24084
0.2574,0.2574,0.2574,0.2574
0.2574,0.2574,0.2574,0.2574
0.2574,0.2574,0.2574,0.2574
0.1256,0.1256,0.1256,0.1256
0.25464,0.25464,0.25464,0.25464
0.24112,0.24112,0.24112,0.24112
0.15686,0.15686,0.15686,0.15686
0.24636,0.24636,0.24636,0.24636
0.29835,0.29835,0.29835,0.29835
0.29156,0.29156,0.29156,0.29156
0.2574,0.2574,0.2574,0.2574
0.1256,0.1256,0.1256,0.1256
0.2574,0.2574,0.2574,0.2574
0.3842,0.3842,0.3842,0.3842
0.16015,0.16015,0.16015,0.16015
0.40158,0.40158,0.40158,0.40158
0.32151,0.32151,0.32151,0.32151
0.24636,0.24636,0.24636,0.24636
0.4803,0.4803,0.4803,0.4803
0.52488,0.52488,0.52488,0.52488
