Zn yield (g/m2/yr),,,
BAU,MSC,LI,MSC_LI
0.0018,0.0018,0.0018,0.0018
0.0018,0.0018,0.0018,0.0018
0.0035,0.0035,0.0035,0.0035
0.0035,0.0035,0.0035,0.0035
0.0035,0.0035,0.0035,0.0035
0.0035,0.0035,0.0035,0.0035
0.0035,0.0035,0.0035,0.0035
0.0035,0.0035,0.0035,0.0035
0.0018,0.0018,0.0018,0.0018
0.0035,0.0035,0.0035,0.0035
0.0035,0.0035,0.0035,0.0035
0.0018,0.0018,0.0018,0.0018
0.0018,0.0018,0.0018,0.0018
0.0035,0.0035,0.0035,0.0035
0.0018,0.0018,0.0018,0.0018
0.0035,0.0035,0.0035,0.0035
0.0035,0.0035,0.0035,0.0035
0.0035,0.0035,0.0035,0.0035
0.0035,0.0035,0.0035,0.0035
0.0035,0.0035,0.0035,0.0035
0.0035,0.0035,0.0035,0.0035
0.0035,0.0035,0.0035,0.0035
0.0035,0.0035,0.0035,0.0035
0.0035,0.0035,0.0035,0.0035
0.0035,0.0035,0.0035,0.0035
0.0018,0.0018,0.0018,0.0018
0.0035,0.0035,0.0035,0.0035
0.0035,0.0035,0.0035,0.0035
0.0035,0.0035,0.0035,0.0035
0.0035,0.0035,0.0035,0.0035
0.0035,0.0035,0.0035,0.0035
0.0035,0.0035,0.0035,0.0035
0.0035,0.0035,0.0035,0.0035
0.0018,0.0018,0.0018,0.0018
0.0035,0.0035,0.0035,0.0035
0.0035,0.0035,0.0035,0.0035
0.0035,0.0035,0.0035,0.0035
0.0035,0.0035,0.0035,0.0035
0.0018,0.0018,0.0018,0.0018
0.0035,0.0035,0.0035,0.0035
0.0035,0.0035,0.0035,0.0035
0.0018,0.0018,0.0018,0.0018
0.0018,0.0018,0.0018,0.0018
0.0018,0.0018,0.0018,0.0018
0.0035,0.0035,0.0035,0.0035
0.0035,0.0035,0.0035,0.0035
0.0035,0.0035,0.0035,0.0035
0.0018,0.0018,0.0018,0.0018
0.0035,0.0035,0.0035,0.0035
0.0035,0.0035,0.0035,0.0035
0.0018,0.0018,0.0018,0.0018
0.0018,0.0018,0.0018,0.0018
0.0035,0.0035,0.0035,0.0035
0.0035,0.0035,0.0035,0.0035
0.0035,0.0035,0.0035,0.0035
0.0035,0.0035,0.0035,0.0035
0.0035,0.0035,0.0035,0.0035
0.0035,0.0035,0.0035,0.0035
0.0018,0.0018,0.0018,0.0018
0.0035,0.0035,0.0035,0.0035
0.0035,0.0035,0.0035,0.0035
0.0035,0.0035,0.0035,0.0035
0.0035,0.0035,0.0035,0.0035
0.0018,0.0018,0.0018,0.0018
0.0035,0.0035,0.0035,0.0035
0.0035,0.0035,0.0035,0.0035
0.0035,0.0035,0.0035,0.0035
0.0035,0.0035,0.0035,0.0035
0.0035,0.0035,0.0035,0.0035
0.0035,0.0035,0.0035,0.0035
0.0018,0.0018,0.0018,0.0018
0.0035,0.0035,0.0035,0.0035
0.0035,0.0035,0.0035,0.0035
0.0035,0.0035,0.0035,0.0035
0.0035,0.0035,0.0035,0.0035
0.0035,0.0035,0.0035,0.0035
0.0035,0.0035,0.0035,0.0035
0.0018,0.0018,0.0018,0.0018
0.0035,0.0035,0.0035,0.0035
0.0035,0.0035,0.0035,0.0035
0.0035,0.0035,0.0035,0.0035
0.0035,0.0035,0.0035,0.0035
0.0018,0.0018,0.0018,0.0018
0.0035,0.0035,0.0035,0.0035
0.0035,0.0035,0.0035,0.0035
0.0018,0.0018,0.0018,0.0018
0.0035,0.0035,0.0035,0.0035
0.0035,0.0035,0.0035,0.0035
0.0035,0.0035,0.0035,0.0035
0.0035,0.0035,0.0035,0.0035
0.0035,0.0035,0.0035,0.0035
0.0035,0.0035,0.0035,0.0035
0.0035,0.0035,0.0035,0.0035
0.0018,0.0018,0.0018,0.0018
0.0018,0.0018,0.0018,0.0018
0.0035,0.0035,0.0035,0.0035
0.0018,0.0018,0.0018,0.0018
0.0035,0.0035,0.0035,0.0035
0.0018,0.0018,0.0018,0.0018
0.0035,0.0035,0.0035,0.0035
