Zn yield (g/m2/yr),,,
BAU,MSC,LI,MSC_LI
0.387172018,0.200256054,0.293528139,0.158421811
0.269876953,0.231318591,0.221649307,0.185760655
0.425122057,0.238503462,0.338296482,0.193134053
0.39499865,0.225729545,0.320589817,0.179436612
0.211795701,0.191109524,0.170682943,0.149899886
0.427818926,0.237754082,0.326301447,0.189472344
0.249309551,0.225218616,0.202237572,0.181714078
0.275506812,0.200612343,0.205085599,0.159356344
0.325503366,0.19482755,0.292135037,0.15496507
0.509174718,0.286109082,0.38135961,0.223766339
0.392820652,0.194062001,0.312781778,0.160792906
0.276637197,0.231215382,0.217227724,0.188153711
0.419812032,0.236764943,0.389945874,0.190288874
0.404961612,0.219575893,0.339416625,0.182394494
0.207324834,0.183001262,0.166221629,0.152986092
0.403146447,0.231926461,0.284491971,0.187979773
0.240768914,0.222856249,0.196660678,0.181590643
0.25996382,0.2042627,0.220113826,0.15897052
0.30051614,0.195266626,0.256441394,0.15724291
0.476681226,0.284145349,0.398512076,0.231453196
0.388657391,0.199195091,0.330224331,0.16244023
0.273081366,0.233413556,0.220133316,0.186662452
0.459692721,0.243139368,0.336194626,0.193015264
0.401485774,0.223572421,0.352443233,0.178347898
0.205272707,0.185777282,0.171477567,0.15093482
0.457133958,0.236237582,0.365898005,0.185499611
0.250929005,0.227706866,0.199625914,0.179907783
0.287485997,0.204966573,0.240113431,0.159847559
0.318535123,0.194969736,0.280422244,0.152076297
0.532243722,0.282220259,0.356013162,0.229220968
0.393547578,0.201825929,0.293216058,0.158289648
0.281733553,0.231260306,0.22061168,0.182097191
0.43712724,0.238561685,0.336390939,0.192398199
0.400876726,0.218374686,0.322782153,0.18203545
0.21220719,0.186046778,0.165623509,0.152982742
0.405312112,0.240196982,0.305046469,0.189004953
0.246893288,0.225006888,0.202420024,0.178623782
0.261559058,0.200101965,0.221541292,0.163845436
0.319570311,0.19370286,0.256961239,0.154261658
0.480066486,0.28345311,0.378952371,0.224879067
0.412253454,0.197534376,0.315830924,0.159626682
0.27510892,0.230230641,0.223217313,0.186897654
0.394659766,0.24480256,0.36689129,0.192002625
0.435182152,0.221268975,0.325926919,0.18050911
0.207215054,0.188617653,0.167953575,0.148610712
0.403592507,0.237205822,0.300249268,0.183117406
0.249833455,0.221598904,0.201603572,0.182945713
0.284637988,0.200841624,0.219144023,0.162184206
0.332680535,0.191113859,0.2389842,0.155222904
0.438388906,0.283474676,0.367853027,0.229932929
0.388242787,0.1990566,0.344848723,0.15799586
0.256054558,0.233800443,0.219861809,0.185543818
0.465625609,0.236528928,0.317963523,0.192918178
0.368354915,0.218262434,0.299970069,0.183550154
0.208887978,0.185747805,0.164753953,0.154693093
0.42638771,0.23359054,0.339885529,0.186120575
0.245386278,0.223212722,0.196426578,0.179602388
0.287749129,0.20293616,0.205803115,0.162345501
0.34704589,0.196616496,0.242864648,0.155510196
0.451220621,0.280517551,0.400770345,0.225103274
0.392241158,0.199432419,0.316510276,0.157804467
0.273979669,0.231952741,0.210919118,0.183042222
0.437086772,0.244034218,0.394150751,0.191972713
0.432614798,0.220952119,0.368763945,0.177251489
0.207167755,0.186935107,0.168901755,0.154769097
0.370876776,0.236168865,0.327650547,0.186310657
0.257552499,0.222860279,0.199724565,0.178894896
0.253917319,0.202898448,0.214213126,0.162705406
0.323464211,0.189146813,0.270643486,0.153700389
0.476770228,0.280014035,0.401843886,0.230453386
0.353806822,0.1973825,0.314949713,0.159029883
0.27151806,0.232221133,0.210079314,0.185107567
0.481956148,0.245822433,0.375525651,0.20035425
0.401451547,0.218519269,0.277808775,0.175998895
0.211018121,0.188931919,0.169029687,0.15445895
0.403737,0.235388972,0.323509091,0.189315669
0.245100518,0.228177962,0.19747896,0.184954593
0.273501999,0.201391327,0.208865828,0.159940401
0.341447135,0.189367014,0.29231376,0.156609015
0.494064133,0.279190021,0.35410286,0.231453196
0.447805964,0.195675398,0.346490301,0.158950085
0.27512719,0.236762794,0.225994962,0.180476287
0.420292536,0.245835715,0.395042821,0.198922808
0.397151548,0.225510164,0.306318752,0.178841275
0.214268604,0.188463387,0.172626482,0.151903401
0.420588581,0.23607996,0.327213424,0.187853106
0.250076149,0.22266314,0.204103161,0.181630511
0.295010021,0.201391327,0.220921767,0.161132595
0.295419509,0.189296062,0.242589601,0.157171275
0.412785245,0.279140268,0.426700571,0.231118556
0.387779041,0.201074608,0.309518177,0.156933375
0.282122918,0.229480143,0.227443209,0.186948478
0.505443702,0.236104283,0.392060643,0.191329419
0.373705652,0.2201191,0.337039251,0.178486869
0.209828273,0.191065998,0.159230689,0.152311032
0.438327919,0.236214204,0.308129915,0.191745938
0.243777581,0.224162204,0.201983545,0.18234896
0.296434873,0.200661255,0.229993744,0.163215695
0.319648101,0.193937135,0.280628571,0.155358229
0.475155818,0.280514516,0.363175724,0.228202506
