Zn yield (g/m2/yr),,,
BAU,MSC,LI,MSC_LI
0.0029,0.0029,0.0029,0.0029
0.0015,0.0015,0.0015,0.0015
0.0029,0.0029,0.0029,0.0029
0.0015,0.0015,0.0015,0.0015
0.0005,0.0005,0.0005,0.0005
0.0015,0.0015,0.0015,0.0015
0.0015,0.0015,0.0015,0.0015
0.0015,0.0015,0.0015,0.0015
0.0015,0.0015,0.0015,0.0015
0.0029,0.0029,0.0029,0.0029
0.0005,0.0005,0.0005,0.0005
0.0029,0.0029,0.0029,0.0029
0.0015,0.0015,0.0015,0.0015
0.0015,0.0015,0.0015,0.0015
0.0015,0.0015,0.0015,0.0015
0.0015,0.0015,0.0015,0.0015
0.0015,0.0015,0.0015,0.0015
0.0005,0.0005,0.0005,0.0005
0.0015,0.0015,0.0015,0.0015
0.0015,0.0015,0.0015,0.0015
0.0015,0.0015,0.0015,0.0015
0.0005,0.0005,0.0005,0.0005
0.0029,0.0029,0.0029,0.0029
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0015,0.0015,0.0015,0.0015
0.0015,0.0015,0.0015,0.0015
0.0015,0.0015,0.0015,0.0015
0.0029,0.0029,0.0029,0.0029
0.0005,0.0005,0.0005,0.0005
0.0015,0.0015,0.0015,0.0015
0.0015,0.0015,0.0015,0.0015
0.0029,0.0029,0.0029,0.0029
0.0005,0.0005,0.0005,0.0005
0.0015,0.0015,0.0015,0.0015
0.0029,0.0029,0.0029,0.0029
0.0029,0.0029,0.0029,0.0029
0.0005,0.0005,0.0005,0.0005
0.0015,0.0015,0.0015,0.0015
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0029,0.0029,0.0029,0.0029
0.0015,0.0015,0.0015,0.0015
0.0005,0.0005,0.0005,0.0005
0.0015,0.0015,0.0015,0.0015
0.0015,0.0015,0.0015,0.0015
0.0005,0.0005,0.0005,0.0005
0.0015,0.0015,0.0015,0.0015
0.0015,0.0015,0.0015,0.0015
0.0015,0.0015,0.0015,0.0015
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0015,0.0015,0.0015,0.0015
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0029,0.0029,0.0029,0.0029
0.0005,0.0005,0.0005,0.0005
0.0015,0.0015,0.0015,0.0015
0.0015,0.0015,0.0015,0.0015
0.0015,0.0015,0.0015,0.0015
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0029,0.0029,0.0029,0.0029
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0015,0.0015,0.0015,0.0015
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0029,0.0029,0.0029,0.0029
0.0005,0.0005,0.0005,0.0005
0.0015,0.0015,0.0015,0.0015
0.0029,0.0029,0.0029,0.0029
0.0005,0.0005,0.0005,0.0005
0.0015,0.0015,0.0015,0.0015
0.0029,0.0029,0.0029,0.0029
0.0015,0.0015,0.0015,0.0015
0.0029,0.0029,0.0029,0.0029
0.0015,0.0015,0.0015,0.0015
0.0029,0.0029,0.0029,0.0029
0.0015,0.0015,0.0015,0.0015
0.0029,0.0029,0.0029,0.0029
0.0015,0.0015,0.0015,0.0015
0.0029,0.0029,0.0029,0.0029
0.0015,0.0015,0.0015,0.0015
0.0015,0.0015,0.0015,0.0015
0.0015,0.0015,0.0015,0.0015
0.0005,0.0005,0.0005,0.0005
0.0015,0.0015,0.0015,0.0015
0.0015,0.0015,0.0015,0.0015
0.0005,0.0005,0.0005,0.0005
0.0015,0.0015,0.0015,0.0015
0.0015,0.0015,0.0015,0.0015
0.0005,0.0005,0.0005,0.0005
0.0015,0.0015,0.0015,0.0015
0.0029,0.0029,0.0029,0.0029
0.0005,0.0005,0.0005,0.0005
0.0005,0.0005,0.0005,0.0005
0.0029,0.0029,0.0029,0.0029
0.0015,0.0015,0.0015,0.0015
0.0015,0.0015,0.0015,0.0015
