Zn yield (g/m2/yr),,,
BAU,MSC,LI,MSC_LI
0.016,0.016,0.016,0.016
0.016,0.016,0.016,0.016
0.0053,0.0053,0.0053,0.0053
0.032,0.032,0.032,0.032
0.032,0.032,0.032,0.032
0.0053,0.0053,0.0053,0.0053
0.032,0.032,0.032,0.032
0.016,0.016,0.016,0.016
0.016,0.016,0.016,0.016
0.016,0.016,0.016,0.016
0.032,0.032,0.032,0.032
0.0053,0.0053,0.0053,0.0053
0.0053,0.0053,0.0053,0.0053
0.016,0.016,0.016,0.016
0.032,0.032,0.032,0.032
0.0053,0.0053,0.0053,0.0053
0.016,0.016,0.016,0.016
0.0053,0.0053,0.0053,0.0053
0.016,0.016,0.016,0.016
0.016,0.016,0.016,0.016
0.016,0.016,0.016,0.016
0.016,0.016,0.016,0.016
0.016,0.016,0.016,0.016
0.0053,0.0053,0.0053,0.0053
0.0053,0.0053,0.0053,0.0053
0.016,0.016,0.016,0.016
0.0053,0.0053,0.0053,0.0053
0.032,0.032,0.032,0.032
0.0053,0.0053,0.0053,0.0053
0.032,0.032,0.032,0.032
0.0053,0.0053,0.0053,0.0053
0.016,0.016,0.016,0.016
0.032,0.032,0.032,0.032
0.016,0.016,0.016,0.016
0.016,0.016,0.016,0.016
0.016,0.016,0.016,0.016
0.0053,0.0053,0.0053,0.0053
0.0053,0.0053,0.0053,0.0053
0.0053,0.0053,0.0053,0.0053
0.016,0.016,0.016,0.016
0.0053,0.0053,0.0053,0.0053
0.016,0.016,0.016,0.016
0.016,0.016,0.016,0.016
0.016,0.016,0.016,0.016
0.016,0.016,0.016,0.016
0.016,0.016,0.016,0.016
0.032,0.032,0.032,0.032
0.016,0.016,0.016,0.016
0.0053,0.0053,0.0053,0.0053
0.0053,0.0053,0.0053,0.0053
0.016,0.016,0.016,0.016
0.016,0.016,0.016,0.016
0.016,0.016,0.016,0.016
0.0053,0.0053,0.0053,0.0053
0.032,0.032,0.032,0.032
0.016,0.016,0.016,0.016
0.0053,0.0053,0.0053,0.0053
0.032,0.032,0.032,0.032
0.016,0.016,0.016,0.016
0.0053,0.0053,0.0053,0.0053
0.016,0.016,0.016,0.016
0.016,0.016,0.016,0.016
0.016,0.016,0.016,0.016
0.016,0.016,0.016,0.016
0.032,0.032,0.032,0.032
0.016,0.016,0.016,0.016
0.032,0.032,0.032,0.032
0.0053,0.0053,0.0053,0.0053
0.032,0.032,0.032,0.032
0.032,0.032,0.032,0.032
0.016,0.016,0.016,0.016
0.016,0.016,0.016,0.016
0.016,0.016,0.016,0.016
0.016,0.016,0.016,0.016
0.016,0.016,0.016,0.016
0.0053,0.0053,0.0053,0.0053
0.032,0.032,0.032,0.032
0.032,0.032,0.032,0.032
0.032,0.032,0.032,0.032
0.032,0.032,0.032,0.032
0.032,0.032,0.032,0.032
0.0053,0.0053,0.0053,0.0053
0.016,0.016,0.016,0.016
0.016,0.016,0.016,0.016
0.016,0.016,0.016,0.016
0.016,0.016,0.016,0.016
0.0053,0.0053,0.0053,0.0053
0.0053,0.0053,0.0053,0.0053
0.032,0.032,0.032,0.032
0.016,0.016,0.016,0.016
0.032,0.032,0.032,0.032
0.016,0.016,0.016,0.016
0.016,0.016,0.016,0.016
0.016,0.016,0.016,0.016
0.032,0.032,0.032,0.032
0.016,0.016,0.016,0.016
0.016,0.016,0.016,0.016
0.0053,0.0053,0.0053,0.0053
0.032,0.032,0.032,0.032
0.0053,0.0053,0.0053,0.0053
