Zn yield (g/m2/yr),,,
BAU,MSC,LI,MSC_LI
0.07377401,0.072841942,0.066121984,0.062285528
0.077552772,0.080722202,0.069285566,0.063332918
0.090905672,0.067917402,0.059436882,0.054062959
0.168728036,0.085970154,0.128446896,0.079782176
0.142620651,0.101380747,0.143931466,0.06929386
0.151088056,0.050411503,0.130166213,0.059918894
0.053820284,0.055679792,0.056475942,0.041143848
0.043997518,0.046713968,0.040865088,0.039996828
0.06717068,0.084717122,0.055086487,0.061551857
0.070586817,0.062993007,0.0655822,0.056561903
0.09062419,0.090147204,0.06159432,0.063853466
0.082819035,0.074305579,0.073132738,0.064537322
0.064478725,0.07374036,0.070406045,0.055670818
0.157693713,0.076229625,0.138147031,0.068801883
0.167958771,0.080339666,0.137233707,0.066441474
0.155487799,0.058782054,0.122877841,0.046519527
0.05742366,0.059035057,0.049932351,0.043575942
0.048900342,0.060288401,0.050565364,0.040225001
0.069564143,0.068927119,0.053765969,0.060956869
0.072855487,0.065778812,0.053061984,0.059450489
0.091266999,0.076635206,0.073197976,0.072481989
0.083418312,0.077797217,0.067681975,0.065705025
0.066371574,0.06595116,0.071375137,0.05034488
0.134091618,0.07904315,0.120844907,0.069393287
0.169640762,0.081468897,0.138313068,0.075601408
0.131537251,0.050472674,0.135459081,0.041838521
0.072500901,0.060151147,0.048651972,0.045078442
0.049400294,0.04360606,0.050119903,0.037075476
0.085630699,0.074644599,0.060956869,0.060150717
0.065527479,0.083012753,0.066241615,0.052587973
0.075187014,0.090752752,0.065855488,0.064997275
0.080887371,0.080328961,0.065896071,0.066347275
0.065009785,0.074837497,0.071435211,0.058935888
0.169079729,0.085834508,0.143497207,0.070040728
0.156577479,0.078417829,0.135148855,0.080433661
0.143859685,0.061098039,0.126759374,0.060123107
0.055267241,0.067971544,0.05795957,0.044060425
0.040800621,0.060023532,0.040285368,0.039936461
0.064487596,0.072883544,0.059605278,0.059555812
0.069219219,0.07123508,0.057369641,0.055051172
0.087825805,0.078505931,0.063958993,0.063382435
0.090534397,0.090443221,0.06628565,0.063127186
0.073117987,0.065877019,0.059764591,0.052648189
0.140605789,0.082121871,0.12108914,0.066960386
0.154212776,0.086003871,0.135337525,0.066008847
0.151654608,0.058329933,0.119229638,0.046062401
0.070736755,0.060376329,0.049511232,0.04772298
0.060288401,0.045438581,0.033599803,0.040744277
0.074051411,0.073750944,0.071484004,0.059256472
0.070162548,0.071327131,0.051936701,0.051034406
0.080128966,0.074617484,0.073197976,0.062799775
0.082774984,0.08015446,0.062047417,0.065346499
0.071327792,0.089115016,0.059342247,0.058252623
0.1579723,0.085601147,0.13824439,0.082897093
0.136350714,0.080256324,0.116237018,0.075176064
0.13683149,0.059050547,0.12763348,0.060580233
0.05751548,0.068472695,0.048080204,0.045896677
0.050105745,0.060023532,0.036293365,0.042466472
0.065582461,0.08332179,0.059605278,0.060065431
0.070162548,0.082057769,0.058976479,0.057154054
0.075223032,0.077699719,0.065855488,0.064186873
0.082447277,0.078463573,0.06162912,0.061810609
0.072241605,0.074758851,0.052787897,0.071239505
0.182719379,0.100506638,0.131908871,0.082147484
0.171115227,0.081563339,0.150027943,0.066527197
0.15119919,0.071887472,0.110177377,0.039148552
0.060679007,0.056570846,0.048215298,0.055604847
0.048102285,0.062227831,0.036191027,0.049852789
0.085465276,0.067721123,0.068989064,0.054356746
0.074112936,0.070032895,0.056450038,0.052647095
0.0795787,0.074109836,0.074812817,0.070725546
0.0782146,0.08227637,0.065521692,0.063404551
0.072414368,0.072623398,0.057054858,0.059694499
0.161638292,0.087978092,0.130475113,0.070462683
0.160068158,0.097300349,0.149230108,0.082981276
0.150699676,0.057005732,0.113749052,0.046136329
0.059400879,0.068698392,0.055840212,0.048941064
0.050593203,0.045943448,0.041580615,0.040744277
0.074281788,0.087231662,0.058945237,0.054541048
0.064934966,0.068700608,0.054792749,0.058405778
0.074617484,0.080568514,0.063468713,0.059556359
0.091527672,0.080354543,0.065082972,0.074751083
0.084982905,0.068092989,0.05439929,0.059694499
0.144401597,0.085766251,0.111356555,0.069916652
0.16260773,0.09383364,0.120919542,0.070655588
0.171215893,0.059114394,0.121416134,0.049163897
0.059082377,0.06869021,0.045490395,0.054868054
0.062367742,0.047670944,0.041153628,0.037895626
0.067951501,0.067232513,0.061355544,0.054376544
0.065064619,0.079829167,0.052587973,0.065694065
0.080698769,0.079305029,0.064186873,0.060070606
0.081516752,0.080323761,0.067799691,0.072608139
0.088243835,0.068092037,0.058113834,0.054221183
0.144568564,0.084943058,0.126888784,0.079745401
0.165363509,0.084361112,0.134558066,0.067250711
0.165222392,0.054816586,0.122604942,0.056299471
0.062607895,0.053887442,0.055138441,0.047906478
0.051746313,0.050964981,0.038019665,0.039484892
0.087979815,0.088555006,0.067537805,0.069073697
0.066266318,0.070642567,0.068470786,0.057257776
