Zn yield (g/m2/yr),,,
Group A,Group B,Group C,Group D
0.107637812,0.059860173,0.076128876,0.045168061
0.098257199,0.05130478,0.084011065,0.040588769
0.105495137,0.054119826,0.074642745,0.043503563
0.115553,0.052817206,0.085315467,0.044756513
0.11950964,0.080967216,0.091347697,0.056689737
0.136117465,0.056446474,0.08298215,0.046841598
0.120221408,0.06253697,0.103135918,0.03994894
0.136649147,0.068348894,0.122196206,0.061091853
0.12609807,0.065115817,0.099991089,0.044768457
0.064934342,0.028683263,0.061038905,0.026078956
0.078648404,0.049338414,0.086793611,0.040463851
0.105473454,0.057582681,0.092096558,0.043351415
0.113073985,0.054828954,0.093654376,0.04963814
0.100121197,0.054006897,0.086692843,0.047127828
0.104225021,0.072236515,0.097565726,0.05337249
0.129917199,0.052078186,0.091552944,0.042887743
0.114458586,0.062497696,0.094397662,0.047473196
0.145745732,0.067762548,0.11169445,0.052299318
0.135540874,0.055388214,0.086678354,0.051833722
0.06731624,0.027395935,0.045935217,0.022268591
0.091022848,0.053733353,0.08413598,0.043486408
0.108064151,0.050218898,0.079303336,0.040250619
0.116589268,0.054335664,0.08506368,0.044275455
0.103908699,0.058047224,0.072064163,0.048885876
0.103880331,0.081839109,0.087761656,0.05427935
0.114127914,0.051939769,0.090948018,0.044125105
0.110229227,0.055451665,0.091425752,0.046723717
0.138809665,0.064021525,0.112214363,0.06079308
0.110545328,0.063648347,0.094478224,0.045721995
0.059707888,0.028123655,0.049324661,0.023521096
0.10777057,0.059157042,0.080023918,0.043800915
0.089682772,0.060810544,0.089255429,0.041157582
0.094012855,0.053968878,0.085317712,0.044630267
0.100805545,0.061490002,0.071782593,0.047246034
0.104544579,0.081881355,0.080016238,0.057248994
0.11985953,0.061427788,0.090338339,0.04501929
0.122485505,0.054566166,0.080835464,0.050175167
0.147297286,0.078965145,0.108689257,0.057422663
0.1172073,0.058361778,0.090997275,0.052392092
0.065154447,0.028656321,0.057117577,0.022715528
0.086165135,0.055306228,0.079832834,0.045206008
0.102564919,0.049086162,0.077125956,0.051009842
0.10816441,0.062191854,0.095959368,0.047783904
0.096885453,0.056632384,0.075114575,0.047408711
0.124629271,0.073245836,0.087465925,0.065414066
0.11941882,0.055916158,0.076763248,0.039566763
0.112568477,0.055972759,0.092192244,0.043148785
0.123432833,0.069377468,0.106298759,0.056006646
0.11904635,0.056743724,0.089710497,0.050446794
0.066369735,0.028930309,0.052396907,0.022605162
0.094150488,0.059408852,0.079916482,0.040473707
0.084965373,0.053427135,0.089135796,0.05075023
0.109423354,0.060147654,0.090068238,0.043891337
0.092099539,0.061546861,0.085296446,0.048486563
0.112381866,0.079562228,0.079180152,0.065098712
0.107671525,0.063967295,0.084749289,0.039143346
0.121790495,0.049648837,0.100827481,0.044403738
0.145320819,0.068079628,0.099171421,0.057853603
0.126518991,0.058991931,0.092100537,0.047263025
0.062675495,0.029802264,0.059807051,0.023749622
0.088700113,0.053438015,0.083085719,0.045037768
0.095011166,0.058091991,0.079475155,0.05048514
0.100029683,0.0530479,0.090471613,0.043787009
0.085267591,0.055414653,0.082898665,0.041979332
0.108634041,0.070006162,0.090501049,0.053687844
0.110257606,0.063139133,0.086129867,0.045500497
0.114811223,0.05460391,0.10361698,0.043570709
0.107509611,0.076581305,0.122292131,0.054006669
0.10366813,0.051878501,0.09639338,0.053951943
0.055846341,0.026865036,0.049433656,0.027607168
0.093064824,0.05189033,0.072210474,0.043486502
0.101877979,0.051253855,0.079273536,0.044377441
0.118408158,0.049487917,0.109024014,0.039554113
0.097943024,0.063777612,0.088860761,0.045152014
0.111170851,0.078058943,0.08674457,0.059818246
0.109455152,0.055186165,0.076113841,0.046160423
0.115675871,0.054214183,0.103078637,0.048154664
0.14726392,0.078566543,0.117145753,0.064635491
0.104070003,0.057167714,0.078836193,0.044802179
0.068022953,0.032470837,0.043417911,0.028040747
0.089354548,0.057307931,0.078719869,0.048394283
0.091078579,0.055954421,0.086693275,0.040994688
0.120629393,0.055633391,0.090759185,0.051376834
0.083182092,0.056788341,0.071524356,0.048922411
0.106600036,0.067430753,0.087545895,0.05600206
0.116069076,0.049671935,0.079405602,0.040376415
0.121829679,0.053467697,0.088356402,0.045506084
0.147585623,0.067695132,0.106620892,0.06282223
0.11821349,0.05164493,0.087938718,0.053764883
0.064904949,0.027537369,0.055180952,0.023521096
0.082616056,0.059525425,0.074901753,0.044445869
0.101424994,0.053429248,0.082192633,0.045402068
0.123010868,0.062082173,0.085086191,0.045709807
0.095198691,0.05416918,0.084849516,0.04385808
0.114929456,0.070184707,0.089784542,0.054937609
0.105538735,0.062742998,0.092112631,0.042312856
0.110119413,0.052284289,0.097587619,0.044737092
0.137090651,0.066079132,0.105396803,0.052709805
0.118098821,0.052261337,0.097328021,0.043120338
0.062167347,0.026089357,0.061744654,0.020502251
