Zn yield (g/m2/yr),,,
BAU,MSC,LI,MSC_LI
0.135567742,0.063843908,0.132679097,0.054322539
0.097243118,0.051486899,0.080584535,0.044095546
0.150857457,0.061402243,0.115894135,0.050436291
0.163825106,0.066679986,0.134188139,0.051737925
0.145706418,0.074837586,0.125423679,0.047267367
0.061478758,0.050885088,0.043426402,0.034783129
0.119613127,0.056341906,0.103296068,0.06277184
0.181214357,0.065466139,0.139144903,0.048087623
0.138219962,0.078262677,0.120713032,0.059126028
0.089257254,0.072162919,0.068411498,0.054529557
0.130554031,0.070629641,0.118083943,0.053499005
0.103265248,0.052827273,0.076896425,0.044095112
0.133051894,0.060393433,0.093028967,0.052479734
0.163585673,0.06569163,0.140245727,0.054233221
0.169729166,0.056484172,0.119591325,0.047369306
0.044667449,0.043163993,0.051025824,0.039791907
0.137039124,0.063804893,0.092640741,0.051104065
0.154574182,0.080666145,0.134880107,0.053525949
0.166148636,0.076431292,0.104251733,0.06297286
0.090486269,0.066786228,0.086298322,0.060394622
0.149552348,0.079148685,0.11337529,0.057710062
0.078938201,0.054866508,0.078436382,0.045258344
0.129453073,0.062963474,0.108255857,0.050604429
0.135155038,0.077667401,0.130486143,0.06483419
0.127084382,0.064532646,0.108032196,0.049957054
0.062418384,0.049241013,0.037498057,0.039466401
0.131464313,0.064643491,0.116811637,0.053449551
0.170955477,0.057366303,0.127979846,0.052570071
0.193571297,0.076890981,0.133733422,0.062611181
0.08987796,0.077874018,0.072411224,0.049946676
0.144985565,0.068024834,0.103549053,0.06416956
0.111578264,0.054499971,0.071283251,0.044592136
0.126092522,0.060192848,0.108915598,0.06007067
0.129442087,0.076817602,0.134538158,0.048811751
0.144505446,0.064396146,0.127253438,0.04560094
0.046880323,0.041764121,0.035367102,0.034890011
0.118778958,0.077040645,0.105506665,0.051924439
0.146907537,0.07798635,0.1375303,0.053461748
0.182363622,0.07797053,0.116026072,0.063016424
0.086961047,0.07602313,0.066897915,0.053875842
0.131670285,0.066861428,0.10356222,0.058853835
0.096467483,0.061944013,0.081783081,0.053401199
0.114927151,0.064599461,0.129970767,0.051706904
0.123559136,0.060585808,0.105135679,0.048818034
0.125668135,0.058231278,0.12826198,0.051754934
0.063173742,0.048176455,0.048441317,0.039791907
0.133669806,0.058357572,0.104080392,0.055709932
0.151368728,0.056919894,0.123910035,0.048640945
0.159776138,0.07706925,0.118389472,0.072078892
0.098880983,0.065845953,0.072418229,0.059543532
0.131691069,0.063629491,0.118410953,0.053404464
0.100959558,0.055433083,0.073606274,0.044749958
0.122917032,0.064969291,0.123905439,0.053750347
0.147343496,0.064174632,0.118912858,0.048766146
0.138241943,0.072662991,0.121216694,0.053103499
0.065090701,0.04599824,0.042178755,0.044957791
0.143607605,0.076463283,0.111199737,0.062034421
0.167832143,0.065480049,0.117367589,0.048869532
0.134100686,0.089244161,0.10970701,0.063650791
0.093248402,0.076599311,0.085864843,0.049946676
0.136582528,0.072001263,0.116738572,0.058793663
0.105939135,0.056951906,0.083110725,0.040881026
0.134765157,0.072872101,0.091149462,0.053650385
0.140100951,0.065646391,0.131578372,0.048411848
0.160022032,0.055114848,0.092455396,0.052788846
0.049059493,0.055917875,0.037983815,0.046064198
0.123716291,0.060465491,0.105591557,0.050663636
0.129067405,0.076991446,0.103818689,0.053865503
0.167008973,0.077337338,0.132613467,0.070900366
0.083195205,0.058256488,0.069557261,0.049291702
0.133431581,0.08036212,0.095076137,0.062567791
0.091487728,0.053464611,0.07823451,0.043940272
0.137931615,0.062992268,0.1121013,0.051359701
0.143207975,0.076874608,0.109619477,0.061781926
0.153025411,0.062359662,0.125391923,0.052424925
0.053167029,0.055662369,0.043277811,0.041222079
0.124556601,0.056680702,0.092151037,0.055744228
0.163961487,0.07767865,0.130689997,0.053129798
0.140468552,0.073821772,0.124191372,0.064359237
0.090320036,0.06084588,0.063506666,0.050902031
0.133310684,0.071908341,0.093816697,0.055121558
0.093969863,0.053163201,0.082563988,0.050113817
0.137383,0.062643293,0.121011772,0.059608772
0.127159976,0.078197691,0.095531216,0.048379265
0.154676242,0.072109841,0.120200789,0.051156451
0.051885472,0.048042852,0.052875847,0.045957316
0.123026898,0.063903234,0.117649254,0.052926296
0.136431541,0.076386183,0.108407577,0.047288915
0.15237461,0.072742224,0.122903627,0.058049943
0.099945818,0.062764274,0.06962763,0.05396499
0.12215879,0.070652545,0.096316456,0.053538518
0.105503796,0.055121629,0.079971713,0.045146472
0.140674943,0.059927889,0.099909413,0.04982923
0.157464316,0.056272472,0.127832351,0.053095044
0.146031608,0.07584867,0.111441646,0.061254287
0.062659942,0.050303883,0.036504826,0.038564399
0.145133983,0.063279503,0.108678996,0.062431591
0.183532129,0.065422538,0.122199504,0.048085161
0.16901208,0.077857443,0.129499096,0.064173058
0.0937788,0.05924502,0.087868262,0.0599038
